authors,book_id,cover,subject,theme,name,kes1,kes2,kes3,kes
"С. М. Никольский, М. К. Потапов,  Н. Н. Решетников, А. В. Шевкин",25230,/system_2/attachments/files/000/077/491/preview/%D0%A4%D0%BE%D1%82%D0%BE__0225.jpg,"{'id': 46, 'name': 'Алгебра'}",,Алгебра,46,1,101,46.1.101
"Драгомилов А.Г., Маш Р.Д.",25156,/system_2/attachments/files/000/070/691/preview/b009750.jpg,"{'id': 57, 'name': 'Биология'}",,Биология. 9 класс.,57,2,102,57.2.102
"А. Я. Юдовская, П. А. Баранов, Л. М. Ванюшкина",23941,/system/attachments/files/000/056/638/preview/title.png,"{'id': 41, 'name': 'История'}",,"Всеобщая история. Иcтория Нового времени, 1500-1800.",41,3,103,41.3.103
"Сороко-Цюпа О. С., Сороко-Цюпа А.О.",24120,/system/attachments/files/000/065/194/preview/title.png,"{'id': 41, 'name': 'История'}",,Всеобщая история. Новейшая история. 9 класс,41,4,104,41.4.104
Бабина Н. Ф.,25282,/system_2/attachments/files/000/077/650/preview/Babina_Vupolnenie_proektov_obl.jpg,"{'id': 19, 'name': 'Технология'}",,Выполнение проектов : учебно-методическое пособие,19,5,105,19.5.105
Лаборатория электронных учебников,5341,/system/attachments/files/000/043/894/preview/00000100.png,"{'id': 41, 'name': 'История'}",,Демонстрационный учебник,41,6,106,41.6.106
"Челышева И. В., Мурюкина Е. В., Челышев К. А.",25284,/system_2/attachments/files/000/077/658/preview/Chelusheva_Mediaobrazovanie_obl.jpg,"{'id': 3230, 'name': 'Компьютерная технология'}",,Зарубежное медиаобразование: современные тенденции развития,3230,7,107,3230.7.107
"Баранова К.М., Дули Д., Копылова В.В., Эванс В, Миллруд Р.",24470,/system/attachments/files/000/060/330/preview/title.png,"{'id': 4, 'name': 'Английский язык'}",,Звездный английский. Английский язык. 5 класс.,4,8,108,4.8.108
Юдовская А.Я.,23953,/system/attachments/files/000/056/669/preview/title.png,"{'id': 41, 'name': 'История'}",,История,41,9,109,41.9.109
"Ведюшкин В.А., Д.Ю. Бовыкин",2,/system/attachments/files/000/001/178/preview/00000020.png,"{'id': 41, 'name': 'История'}",,История Нового времени,41,3,110,41.3.110
"Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А.Я. Токарева",2271,/system/attachments/files/000/050/436/preview/title.png,"{'id': 41, 'name': 'История'}",,История России,41,10,111,41.10.111
"Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А. Я. Токарева",2272,/system/attachments/files/000/050/437/preview/title.png,"{'id': 41, 'name': 'История'}",,История России,41,10,111,41.10.111
"Н. М. Арсентьев, А. А. Данилов, И. В. Курукин, А. Я. Токарева",2270,/system/attachments/files/000/050/435/preview/title.png,"{'id': 41, 'name': 'История'}",,История России,41,10,111,41.10.111
"Н. М. Арсентьев, А. А. Данилов, П. С. Стефанович, А. Я. Токарева",23008,/system/attachments/files/000/053/107/preview/title.png,"{'id': 41, 'name': 'История'}",,История России,41,10,111,41.10.111
"М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков",21650,/system/attachments/files/000/050/857/preview/title.png,"{'id': 41, 'name': 'История'}",,История России 10 класс. Часть 1,41,10,112,41.10.112
"М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков",21651,/system/attachments/files/000/050/858/preview/title.png,"{'id': 41, 'name': 'История'}",,История России 10 класс. Часть 2,41,10,112,41.10.112
"М. М. Горинов, А. А. Данилов, М. Ю. Моруков, И. С. Семененко, А. Я. Токарева, В. Н. Хаустов, О. В. Хлевнюк, В. А. Шестаков",21653,/system/attachments/files/000/052/362/preview/title.png,"{'id': 41, 'name': 'История'}",,История России 10 класс. Часть 3,41,10,112,41.10.112
Данилов А.А.,1,/system/attachments/files/000/004/291/preview/00000010.png,"{'id': 41, 'name': 'История'}",,История. Россия в XVII-XVIII веках,41,10,113,41.10.113
Курдюмова Т.Ф.,25161,/system_2/attachments/files/000/071/104/preview/b009745.jpg,"{'id': 33, 'name': 'Литература'}",,Литература. 6 класс. Учебник. В 2-х частях. Часть 2.,33,11,114,33.11.114
Курдюмова Т. Ф.,25162,/system_2/attachments/files/000/070/978/preview/b009746.jpg,"{'id': 33, 'name': 'Литература'}",,Литература. 7 класс. Учебник. В 2-х частях. Часть 1.,33,11,115,33.11.115
"Курдюмова Т.Ф., Колокольцев Е.Н., Марьина О.Б. / Под ред. Курдюмовой Т.Ф.",25170,/system_2/attachments/files/000/071/039/preview/b009753.jpg,"{'id': 33, 'name': 'Литература'}",,Литература. 8 класс. Учебник. В 2-х частях. Часть 2.,33,11,116,33.11.116
"Курдюмова Т.Ф., Леонов С.А., Марьина О.Б., Колокольцев Е.Н. и др. / Под ред. Курдюмовой Т.Ф.",25181,/system_2/attachments/files/000/071/288/preview/b009778.jpg,"{'id': 33, 'name': 'Литература'}",,Литература. 9 класс. Учебник. В 2-х частях. Часть 2,33,11,117,33.11.117
Ильина С.Ю.,25009,/system/attachments/files/000/061/668/preview/title.png,"{'id': 3178, 'name': 'Литературное чтение'}",,Литературное чтение,3178,11,118,3178.11.118
Ахромушкина И. М.,25276,/system_2/attachments/files/000/077/641/preview/Ahromushkina_Metodika_obucheniya.png,"{'id': 58, 'name': 'Химия'}",,Методика обучения химии: учебно-методическое пособие,58,12,119,58.12.119
"Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова",24665,/system/attachments/files/000/060/878/preview/title.png,"{'id': 3199, 'name': 'Мир природы и человека'}",,Мир природы и человека,3199,13,120,3199.13.120
Матвеева Н.Б.,24706,/system/attachments/files/000/061/535/preview/title.png,"{'id': 3199, 'name': 'Мир природы и человека'}",,Мир природы и человека,3199,13,120,3199.13.120
"Н. Б. Матвеева, И. А. Ярочкина, М. А. Попова, Т. О. Куртова.",24664,/system/attachments/files/000/061/530/preview/title.png,"{'id': 3199, 'name': 'Мир природы и человека'}",,Мир природы и человека. Часть 1,3199,13,120,3199.13.120
,24530,/system/attachments/files/000/060/042/preview/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%9C.png,"{'id': 41, 'name': 'История'}",,Москва: сегодня и завтра,41,14,121,41.14.121
"М. А. Членов, Г. А. Миндрина, А. В. Глоцер",24126,/system/attachments/files/000/057/381/preview/title.png,"{'id': 14, 'name': 'Основы иудейской культуры'}",,Основы иудейской культуры,14,15,122,14.15.122
"Шаповалова В. С., Челышева И. В.",25286,/system_2/attachments/files/000/077/660/preview/Proffess_samoopredelenie_obl.jpg,"{'id': 19, 'name': 'Технология'}",,"Профессиональное самоопределение школьников: теория, история, практика : монография",19,16,123,19.16.123
"Кадыров Р. В., Александрова Е. В.",25277,/system_2/attachments/files/000/077/644/preview/Kadyrov_Psihokorrekciya_perejivan_otchujden.png,"{'id': 3243, 'name': 'Коррекционно-развивающие занятия'}",,"Психокоррекция переживания отчуждения у детей, болеющих хроническими заболеваниями : программа психологической коррекции",3243,17,124,3243.17.124
"Кузьмина Е. С., Нурлыгаянов И. Н., редакторы",25278,/system_2/attachments/files/000/077/645/preview/Sovr_problemy_obraz_obuch_narush.png,"{'id': 3243, 'name': 'Коррекционно-развивающие занятия'}",,Современные проблемы образования обучающихся с нарушениями интеллекта : сборник учебно-методических работ,3243,17,125,3243.17.125
"Подольская О. А., Яковлева И. В.",25285,/system_2/attachments/files/000/077/659/preview/Podolskaya_Inkluziv_obl.jpg,"{'id': 3243, 'name': 'Коррекционно-развивающие занятия'}",,Теория и практика инклюзивного образования: учебное пособие,3243,17,126,3243.17.126
Мусс Г. Н.,25281,/system_2/attachments/files/000/077/649/preview/Myss_Patriotich_vospit_obl.jpg,"{'id': 44, 'name': 'Обществознание'}",,Теория и практика патриотического воспитания,44,18,127,44.18.127
ГБОУ Городской методический центр,3373,/system/attachments/files/000/002/403/preview/00000029.png,"{'id': 41, 'name': 'История'}",,Хрестоматия,41,19,128,41.19.128
ГБОУ Городской методический центр,25189,/system_2/attachments/files/000/074/114/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия,41,19,128,41.19.128
ГБОУ Городской методический центр,25267,/system_2/attachments/files/000/077/611/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1700-1750 гг.,41,19,129,41.19.129
ГБОУ Городской методический центр,25188,/system_2/attachments/files/000/074/113/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1750-1800 гг.,41,19,129,41.19.129
ГБОУ Городской методический центр,24417,/system/attachments/files/000/059/303/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1800 - 1809 гг,41,19,130,41.19.130
ГБОУ Городской методический центр,25190,/system_2/attachments/files/000/074/115/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1810гг.,41,19,130,41.19.130
ГБОУ Городской методический центр,24429,/system_2/attachments/files/000/073/295/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1830 гг.,41,19,130,41.19.130
ГБОУ Городской методический центр,24425,/system_2/attachments/files/000/072/127/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1840 гг.,41,19,130,41.19.130
ГБОУ Городской методический центр,24420,/system/attachments/files/000/059/373/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1850гг.,41,19,130,41.19.130
ГБОУ Городской методический центр,25187,/system_2/attachments/files/000/074/112/preview/title.png,"{'id': 41, 'name': 'История'}",,Хрестоматия 1890 гг.,41,19,130,41.19.130
,25279,/system_2/attachments/files/000/077/647/preview/Chto_takoe_odarjonnost_vyjavlenie_i_razvitie.png,"{'id': 57, 'name': 'Биология'}",,Что такое одаренность: выявление и развитие одаренных детей. Классические тексты,57,20,131,57.20.131
Мелкумова М. В.,25280,/system_2/attachments/files/000/077/648/preview/Melkumova_Shablon_rab_program_annotac_.png,"{'id': 4, 'name': 'Английский язык'}",,"Шаблон рабочей программы и аннотации к ней по английскому языку для 5 класса к УМК «Английский в фокусе» Н. И. Быковой, Д. Дули, М. Д. Поспеловой, В. Эванс: учебно-методическое пособие",4,21,132,4.21.132
"Л. С. Атанасян, В. Ф. Бутузов, С. Б. Кадомцев, Э. Г. Позняк, И. И. Юдина",22566,/system/attachments/files/000/051/899/preview/title.png,"{'id': 47, 'name': 'Геометрия'}",,Геометрия,47,22,201,47.22.201
Л. С. Атанасян,23040,/system/attachments/files/000/053/185/preview/title.png,"{'id': 47, 'name': 'Геометрия'}",,Геометрия,47,22,202,47.22.202
"Потоскуев Е.В., Звавич Л.И.",25179,/system_2/attachments/files/000/071/155/preview/b009780.jpg,"{'id': 47, 'name': 'Геометрия'}",,Математика: алгебра и начала математического анализа. Геометрия. 10 класс. Углубленный уровень.,47,22,203,47.22.203
